,Date,Open,High,Low,Close,Adj Close,Volume,Dividend Amount,Split Coefficient
3726,2020-07-17,12.48,12.6,11.89,11.91,11.91,67194300,0.0,1.0
3725,2020-07-16,12.8,13.07,12.29,12.45,12.45,81546100,0.0,1.0
3724,2020-07-15,12.45,13.48,12.21,13.44,13.44,135445200,0.0,1.0
3723,2020-07-14,11.32,11.84,11.22,11.57,11.57,49888900,0.0,1.0
3722,2020-07-13,12.13,12.27,11.45,11.63,11.63,67580300,0.0,1.0
3721,2020-07-10,11.0,11.95,10.98,11.94,11.94,90529600,0.0,1.0
3720,2020-07-09,11.94,11.94,11.15,11.18,11.18,77131300,0.0,1.0
3719,2020-07-08,11.6,12.08,11.43,11.99,11.99,85252100,0.0,1.0
3718,2020-07-07,12.51,12.54,11.91,11.91,11.91,77999200,0.0,1.0
3717,2020-07-06,12.8,12.92,12.21,12.8,12.8,79313000,0.0,1.0
3716,2020-07-02,13.35,13.42,12.42,12.5,12.5,86439100,0.0,1.0
3715,2020-07-01,13.48,14.29,12.63,12.81,12.81,116860600,0.0,1.0
3714,2020-06-30,13.1,13.48,12.88,13.07,13.07,69607700,0.0,1.0
3713,2020-06-29,12.57,13.51,12.02,13.32,13.32,115051100,0.0,1.0
3712,2020-06-26,13.2,13.285,12.13,12.38,12.38,108813029,0.0,1.0
3711,2020-06-25,12.53,13.24,12.18,13.17,13.17,117383374,0.0,1.0
3710,2020-06-24,13.59,13.9,12.83,13.04,13.04,140975485,0.0,1.0
3709,2020-06-23,13.76,14.29,13.71,14.0,14.0,204022271,0.0,1.0
3708,2020-06-22,14.9,15.52,14.72,14.92,14.92,118994544,0.0,1.0
3707,2020-06-19,16.89,16.94,15.415,16.0,16.0,92320184,0.0,1.0
3706,2020-06-18,16.37,17.07,16.28,16.49,16.49,64265328,0.0,1.0
3705,2020-06-17,16.76,17.045,16.155,16.98,16.98,71706660,0.0,1.0
3704,2020-06-16,18.36,18.44,16.55,17.03,17.03,127369736,0.0,1.0
3703,2020-06-15,15.27,17.17,15.08,16.7,16.7,122904105,0.0,1.0
3702,2020-06-12,16.82,17.31,15.67,16.74,16.74,161101802,0.0,1.0
3701,2020-06-11,14.61,15.68,14.07,14.38,14.38,124220842,0.0,1.0
3700,2020-06-10,17.69,18.16,15.9201,17.02,17.02,163952527,0.0,1.0
3699,2020-06-09,18.45,18.97,17.61,18.55,18.55,111234412,0.0,1.0
3698,2020-06-08,19.86,20.36,19.13,20.31,20.31,175418927,0.0,1.0
3697,2020-06-05,21.25,22.8,17.8,18.59,18.59,428617124,0.0,1.0
3696,2020-06-04,12.85,18.18,12.63,16.72,16.72,399432625,0.0,1.0
3695,2020-06-03,11.56,12.2,11.44,11.85,11.85,86685282,0.0,1.0
3694,2020-06-02,11.4,11.64,10.9735,11.22,11.22,49148574,0.0,1.0
3693,2020-06-01,10.79,11.33,10.62,11.11,11.11,50681600,0.0,1.0
3692,2020-05-29,10.48,10.87,10.32,10.5,10.5,59054713,0.0,1.0
3691,2020-05-28,11.78,11.83,10.9,10.98,10.98,70811411,0.0,1.0
3690,2020-05-27,12.43,12.55,11.07,11.98,11.98,99314752,0.0,1.0
3689,2020-05-26,10.27,11.28,10.25,11.14,11.14,101717009,0.0,1.0
3688,2020-05-22,10.02,10.12,9.63,9.7,9.7,37596763,0.0,1.0
3687,2020-05-21,9.87,10.15,9.83,9.89,9.89,45785718,0.0,1.0
3686,2020-05-20,9.91,10.14,9.77,9.87,9.87,44006731,0.0,1.0
