,Date,Open,High,Low,Close,Adj Close,Volume,Dividend Amount,Split Coefficient
5210,2020-07-17,7.06,7.15,6.98,7.07,7.07,59780200,0.0,1.0
5209,2020-07-16,7.06,7.18,6.99,7.05,7.05,52273500,0.0,1.0
5208,2020-07-15,7.09,7.21,7.03,7.14,7.14,89663900,0.0,1.0
5207,2020-07-14,6.66,6.89,6.57,6.88,6.88,69725200,0.0,1.0
5206,2020-07-13,6.76,6.82,6.64,6.7,6.7,68313900,0.0,1.0
5205,2020-07-10,6.54,6.72,6.53,6.69,6.69,63284100,0.0,1.0
5204,2020-07-09,6.83,6.83,6.58,6.58,6.58,74651100,0.0,1.0
5203,2020-07-08,6.82,6.87,6.72,6.86,6.86,64297500,0.0,1.0
5202,2020-07-07,6.89,6.89,6.75,6.76,6.76,62213400,0.0,1.0
5201,2020-07-06,6.98,7.08,6.89,7.0,7.0,75276500,0.0,1.0
5200,2020-07-02,6.86,7.04,6.81,6.82,6.82,74100400,0.0,1.0
5199,2020-07-01,6.93,7.01,6.71,6.74,6.74,120516900,0.0,1.0
5198,2020-06-30,6.71,6.87,6.66,6.83,6.83,69304600,0.0,1.0
5197,2020-06-29,6.57,6.8,6.5,6.8,6.8,75122300,0.0,1.0
5196,2020-06-26,6.62,6.65,6.45,6.48,6.48,89295895,0.01,1.0
5195,2020-06-25,6.5,6.7,6.42,6.68,6.6697,73809406,0.0,1.0
5194,2020-06-24,6.9,6.9,6.52,6.53,6.5199,144356660,0.0,1.0
5193,2020-06-23,7.09,7.13,6.97,7.0,6.9892,80486536,0.0,1.0
5192,2020-06-22,7.17,7.18,6.96,7.04,7.0292,78063068,0.0,1.0
5191,2020-06-19,7.42,7.45,7.09,7.15,7.139,88586566,0.0,1.0
5190,2020-06-18,7.13,7.32,7.02,7.28,7.2688,78176994,0.0,1.0
5189,2020-06-17,7.5,7.53,7.2,7.24,7.2288,75056197,0.0,1.0
5188,2020-06-16,7.73,7.74,7.29,7.47,7.4585,98058129,0.0,1.0
5187,2020-06-15,6.95,7.35,6.85,7.24,7.2288,101911410,0.0,1.0
